Title,Year,Director,Country,ASL
View From the Top ,2003,"Barreto, Bruno ",USA ,3.96
Borat: Cultural Learnings of America� ,2006,"Charles, Larry ",,3.96
"Painted Veil, The ",2006,"Curran, John ",,3.96
"Woman in Black, The ",2011,"Watkins, James ",,3.96
Jason and the Argonauts ,1963,"Chaffey, Don ",USA ,3.97
Herbie Rides Again ,1974,"Stevenson, Robert ",USA ,3.97
Casablanca Express ,1989,"Martino, Sergio ",ITA ,3.97
"Shadow, The ",1994,"Mulcahy, Russell ",USA ,3.97
Enough ,2002,"Apted, Michael ",USA ,3.97
Star Wars Ep. II: The Attack of the Clones ,2002,"Lucas, George ",USA ,3.97
American Cousins ,2003,"Coutts, Donald ",BRI ,3.97
Battle Royale 2: Requiem ,2003,"Fukasaku, Kenta & Kinzi ",JAP ,3.97
"Curious Case of Benjamin Button, The ",2008,"Fincher, David ",USA ,3.97
44 Inch Chest ,2009,"Venville, Malcolm ",,3.97
Public Enemies ,2009,"Mann, Michael ",USA ,3.97
Cedar Rapids ,2011,"Arteta, Miguel ",USA ,3.97
"Gumball Rally, The ",1976,"Bail, Chuck ",USA ,3.98
National Lampoon's Christmas Vacation ,1989,"Chechik, Jeremiah ",USA ,3.98
Jersey Girl ,2003,"Smith, Kevin ",USA ,3.98
Open Water 2: Adrift ,2006,"Horn, Hans ",,3.98
"Definitely, Maybe ",2008,"Brooks, Adam ",,3.98
"Eagle, The ",2010,"MacDonald, Kevin ",BRI ,3.98
Goldfinger ,1964,"Hamilton, Guy ",BRI ,3.99
Alien Nation ,1988,"Baker, Graham ",USA ,3.99
Dennis ,1993,"Castle, Nick ",USA ,3.99
No Good Deed ,2002,"Rafelson, Bob ",USA ,3.99
"Stepford Wives, The ",2004,"Oz, Frank ",USA ,3.99
"Magic Roundabout, The ",2005,"Borthwick, T. & Duval, J. ",,3.99
Firewall ,2006,"Loncraine, Richard ",USA ,3.99
Management ,2008,"Belber, Stephen ",USA ,3.99
Dorian Gray ,2009,"Parker, Oliver ",BRI ,3.99
Land of the Lost ,2009,"Silberling, Brad ",USA ,3.99
Insidious ,2010,"Wan, James ",CAN ,3.99
West is West ,2010,"DeEmmoy, Andy ",BRI ,3.99
"Raid: Redemption, The ",2011,"Evans, Gareth Huw ",,3.99
Win Win ,2011,"McCarthy, Tom ",USA ,3.99
"Apple Tree Girl, The ",1917,"Crosland, Alan ",USA ,4
"Modern Musketeer, A ",1917,"Dwan, Allan ",USA ,4
Dangerous Hours ,1920,"Niblo, Fred ",USA ,4
Medvezhya Svadba ,1926,"Gardin, V. & Eggert, K. ",RUS ,4
Devushka s Korobkoi ,1927,"Barnet, Boris ",RUS ,4
Show People ,1928,"Vidor, King ",USA ,4
West of Zanzibar ,1928,"Browning, Tod ",USA ,4
"Conquest of the Air, The ",1936,"Korda, Esway, Shaw, Saund ",BRI ,4
Tarzan Finds a Son ,1939,"Thorpe, Richard ",USA ,4
Tarzan's New York Adventure ,1942,"Thorpe, Richard ",USA ,4
Desert Victory ,1943,"Boulting, R. & MacDonald, ",BRI ,4
Three Hats For Lisa ,1965,"Hayers, Sidney ",BRI ,4
Caprice ,1966,"Tashlin, Frank ",USA ,4
That Riviera Touch ,1966,"Owen, Cliff ",BRI ,4
De l'enfer a la victoire ,1970,"Lenzi, Umberto ",,4
"Last American Hero, The ",1973,"Johnson, Lamont ",USA ,4
"Food of the Gods, The ",1976,"Gordon, Bert I. ",,4
Trial by Combat ,1976,"Connor, Kevin ",BRI ,4
Dharam Veer ,1977,"Desai, Manmohan ",IND ,4
"Sea Wolves, The ",1980,"McLagen, Andrew V. ",,4
Star 80 ,1983,"Fosse, Bob ",USA ,4
Electric Dreams ,1984,"Barron, Steve ",BRI ,4
Sword of the Valiant ,1984,"Weeks, Stephen ",BRI ,4
On Dangerous Ground ,1986,"Bail, Chuck ",USA ,4
Child's Play ,1988,"Holland, Tom ",USA ,4
Ernest Scared Stupid ,1991,"Cherry, John R. ",USA ,4
Radio Flyer ,1992,"Donner, Richard ",USA ,4
APEX ,1994,"Roth, Phillip J. ",USA ,4
Legends of the Fall ,1994,"Zwick, Edward ",USA ,4
"Low Down Dirty Shame, A ",1994,"Wayans, Keenen Ivory ",USA ,4
"Never-Ending Story III, The ",1994,"MacDonald, Peter ",GER ,4
"Scout, The ",1994,"Ritchie, Michael ",USA ,4
Napoleon ,1995,"Andreacchio, Mario ",,4
Dangerous Ground ,1996,"Roodt, Darrell James ",,4
DragonHeart ,1996,"Cohen, Rob ",USA ,4
Race the Sun ,1996,"Kanganis, Charles T. ",USA ,4
"Substitute, The ",1996,"Mandel, Robert ",USA ,4
"Very Brady Sequel, A ",1996,"Sanford, Arlene ",USA ,4
Apt Pupil ,1997,"Singer, Bryan ",,4
Body Count ,1997,"Patton-Spruill, Robert ",USA ,4
Casper: A Spirited Beginning ,1997,"McNamara, Sean ",USA ,4
Free Willy 3: The Rescue ,1997,"Pillsbury, Sam ",USA ,4
"Game, The ",1997,"Fincher, David ",USA ,4
Jungle to Jungle ,1997,"Pasquin, John ",USA ,4
LA Confidential ,1997,"Hanson, Curtis ",USA ,4
"Martha - Meet Frank, Daniel and Laurence ",1997,"Hamm, Nick ",BRI ,4
Selena ,1997,"Nava, Gregory ",USA ,4
Shadow Conspiracy ,1997,"Cosmatos, George Pan ",USA ,4
Divorcing Jack ,1998,"Caffrey, David ",,4
Heaven ,1998,"Reynolds, Scott ",,4
Home Fries ,1998,"Parisot, Dean ",USA ,4
Ringmaster ,1998,"Abramson, Neil ",USA ,4
Simon Birch ,1998,"Johnson, Mark Stephen ",USA ,4
Stardust ,1998,"Circenski, Charles ",USA ,4
ATF ,1999,"Parisot, Dean ",USA ,4
"Bone Collector, The ",1999,"Noyce, Phillip ",USA ,4
Instinct ,1999,"Turtletaub, Jon ",USA ,4
Melrose Place ,1999,,USA ,4
Baby Bedlam ,2000,"Hendershot, Eric ",USA ,4
Brookside (JS) ,2000,"Summers, Jeremy ",BRI ,4
"Legend of Bagger Vance, The ",2000,"Redford, Robert ",USA ,4
Very Annie-Mary ,2000,"Sugarman, Sara ",,4
"Weight of Water, The ",2000,"Bigelow, Kathryn ",,4
crazy/beautiful ,2001,"Stockwell, John ",USA ,4
Ghosts of Mars ,2001,"Carpenter, John ",USA ,4
"Last Castle, The ",2001,"Lurie, Rod ",USA ,4
"Mothman Prophecies, The ",2001,"Pellington, Mark ",USA ,4
"Placard, le ",2001,"Veber, Francis ",FRA ,4
Makdee ,2002,"Bardwaj, Vishal ",IND ,4
Mal�na ,2002,"Tornatore, Giuseppe ",ITA ,4
We Were Soldiers ,2002,"Wallace, Randall ",USA ,4
"Ladykillers, The ",2004,"Coen, Joel & Ethan ",USA ,4
Super Size Me ,2004,"Spurlock, Morgan ",USA ,4
Lost ,2005,"Lemmke, Darren ",USA ,4
End Game ,2006,"Cheng, Andy ",USA ,4
License to Wed ,2007,"Kwapis, Ken ",,4
Perfect Stranger ,2007,"Foley, James ",USA ,4
Frozen ,2009,"Green, Adam ",USA ,4
"Joneses, The ",2009,"Borte, Derick ",USA ,4
Hodejegerne ,2011,"Tyldum, Morten ",,4
Set Up ,2011,"Gunther, Mike ",USA ,4
Over the Top ,1987,"Golan, Menahem ",,4.01
Kalifornia ,1993,"Sena, Dominic ",USA ,4.01
Carpool ,1996,"Hiller, Arthur ",USA ,4.01
James and the Giant Peach ,1996,"Selick, Henry ",,4.01
Shattered Glass ,2003,"Ray, Billy ",USA ,4.01
Gone Baby Gone ,2007,"Affleck, Ben ",USA ,4.01
Superbad ,2007,"Mottola, Greg ",USA ,4.01
"Ruins, The ",2008,"Smith, Carter ",,4.01
City Slickers ,1991,"Underwood, Ron ",USA ,4.02
Stop! or My Mom Will Shoot ,1992,"Spottiswoode, Roger ",USA ,4.02
Cops and Robbersons ,1994,"Ritchie, Michael ",USA ,4.02
Nouvelle-France ,2004,"Beaudin, Jean ",,4.02
In the Mix ,2005,"Underwood, Ron ",USA ,4.02
Ip Man ,2008,"Yip, Wilson ",CHI ,4.02
Zack and Miri Make a Porno ,2008,"Smith, Kevin ",USA ,4.02
Perrier's Bounty ,2009,"Fitzgibbon, Ian ",,4.02
Round Ireland With a Fridge ,2010,"Bye, Ed ",BRI ,4.02
Pathfinders: In the Company of Strangers ,2011,"Sindelar, Curt A. ",USA ,4.02
Carambola ,1974,"Baldi, Ferdinando ",ITA ,4.03
Star Wars V: The Empire Strikes Back ,1980,"Kershner, Irwin ",USA ,4.03
Dragnet ,1987,"Mankiewicz, Tom ",USA ,4.03
"Big Bounce, The ",2004,"Armitage, George ",USA ,4.03
Sophie Scholl: The Final Days ,2004,"Rothemund, Marc ",GER ,4.03
Machan ,2008,"Pasolini, Uberto ",,4.03
State of Play ,2009,"MacDonald, Kevin ",,4.03
Black Swan ,2010,"Aronofsky, Darren ",USA ,4.03
Junkhearts ,2011,"Krishnan, Tinge ",BRI ,4.03
Snake in the Eagle's Shadow ,1978,Yuen Woo-Ping ,HKO ,4.04
City Slickers II: The Legend of Curly's Gold ,1994,"Welland, Paul ",USA ,4.04
No Escape ,1994,"Campbell, Martin ",,4.04
Devils on the Doorstep ,2000,Jiang Wen ,CHI ,4.04
Apr�s vous ,2003,"Salvadori, Pierre ",FRA ,4.04
27 Dresses ,2008,"Fletcher, Anne ",USA ,4.04
Flash Gordon ,1980,"Hodges, Mike ",BRI ,4.05
"Breakfast Club, The ",1984,"Hughes, John ",USA ,4.05
"Monster Squad, The ",1987,"Dekker, Fred ",USA ,4.05
Deadly Pursuit ,1988,"Spottiswoode, Roger ",USA ,4.05
"Hard Way, The ",1991,"Badham, John ",USA ,4.05
"Hours, The ",2002,"Daldry, Stephen ",,4.05
House of Flying Daggers ,2004,Zhang Yimou ,CHI ,4.05
White Noise ,2004,"Sax, Geoffrey ",USA ,4.05
Wicker Park ,2004,"McGuigan, Paul ",USA ,4.05
"Dark, The ",2005,"Fawcett, John ",USA ,4.05
"Devil Wears Prada, The ",2006,"Frankel, David ",USA ,4.05
"Three Worlds of Gulliver, The ",1959,"Sher, Jack ",USA ,4.06
"Valley of Gwangi, The ",1969,"O'Connolly, James ",USA ,4.06
"Naked Gun, The ",1988,"Zucker, David ",USA ,4.06
Spanglish ,2004,"Brooks, James L. ",USA ,4.06
Starship Troopers 2: Hero of the Federatio ,2004,"Tippett, Phil ",USA ,4.06
Goya's Ghosts ,2006,"Forman, Milos ",,4.06
"Day the Earth Stood Still, The ",2008,"Derrickson, Scott ",,4.06
Lawless ,2012,"Hillcoat, John ",USA ,4.06
Raising Arizona ,1987,"Coen, Joel ",USA ,4.07
"Last Run, The ",2001,"Hickox, Anthony ",,4.07
Say It Isn't So ,2001,"Rogers, J.B. ",USA ,4.07
Envy ,2003,"Levinson, Barry ",USA ,4.07
Out of Time ,2003,"Franklin, Carl ",USA ,4.07
Miami Vice ,2006,"Mann, Michael ",,4.07
Norbit ,2007,"Robbins, Brian ",USA ,4.07
"Reye de Montana, el ",2007,"Lopez-Gallego, Gonzalo ",SPA ,4.07
Viva Riva! ,2010,"Munga, Djo Tunda Wa ",,4.07
Press for Time ,1966,"Asher, Robert ",BRI ,4.08
Mad Max ,1979,"Miller, George ",AUS ,4.08
Spirit Trap ,2004,"Smith, David ",BRI ,4.08
Cadillac Records ,2008,"Martin, Darnell ",USA ,4.08
Vice Versa ,1988,"Gilbert, Brian ",USA ,4.09
Batman ,1989,"Burton, Tim ",USA ,4.09
Mad About Mambo ,1999,"Forte, John ",,4.09
Into the Wild ,2004,"Penn, Sean ",USA ,4.09
Mysterious Skin ,2004,"Araki, Gregg ",USA ,4.09
"Constant Gardener, The ",2005,"Meirelles, Fernando ",,4.09
Harry Potter and the Goblet of Fire ,2005,"Newell, Mike ",USA ,4.09
"Hitchhiker's Guide to the Galaxy, The ",2005,"Jennings, Garth ",,4.09
Nina's Heavenly Delights ,2006,"Parmar, Prabhita ",BRI ,4.09
Genova ,2008,"Winterbottom, Michael ",BRI ,4.09
"Back-Up Plan, The ",2010,"Poul, Alan ",USA ,4.09
London Boulevard ,2010,"Monahan, William ",,4.09
N?ne ,1924,"Baroncelli, Jacques de ",FRA ,4.1
Tarzan's Secret Treasure ,1941,"Thorpe, Richard ",USA ,4.1
All the Young Men ,1960,"Bartlett, Hall ",USA ,4.1
Common Law Cabin ,1967,"Meyer, Russ ",USA ,4.1
Hell Up in Harlem ,1973,"Cohen, Larry ",USA ,4.1
"Apple Dumpling Gang, The ",1974,"Tokar, Norman ",USA ,4.1
Friday Foster ,1974,"Marks, Arthur ",USA ,4.1
Battlestar Galactica ,1978,"Colla, Richard A. ",USA ,4.1
"Almost Perfect Affair, An ",1979,"Ritchie, Michael ",,4.1
Stridulum ,1979,"Paradisi, G. (M. Paradise ",ITA ,4.1
Baby: Secret of the Lost Legend ,1985,"Norton, B.W.L. ",USA ,4.1
Pee-Wee's Big Adventure ,1985,"Burton, Tim ",USA ,4.1
Death Wish 4: The Crackdown ,1987,"Lee-Thompson, J. ",USA ,4.1
Redneck Zombies ,1988,"Lewnes, Pericles ",USA ,4.1
Watchers ,1988,"Hess, Jon ",CAN ,4.1
Red Scorpion ,1989,"Zito, Joseph ",USA ,4.1
Graveyard Shift ,1990,"Singleton, Ralph S. ",USA ,4.1
"Car 54, Where Are You? ",1991,"Fishman, Bill ",USA ,4.1
Out for Justice ,1991,"Flynn, John ",USA ,4.1
Boris and Natasha ,1992,"Smith, Charles Martin ",USA ,4.1
Freaked ,1993,"Stern, T. & Winter, A. ",USA ,4.1
Hellbound ,1993,"Norris, Aaron ",USA ,4.1
Munchie Strikes Back ,1994,"Wynorski, Jim ",USA ,4.1
Roadflower ,1994,"Sarafian, Deran ",USA ,4.1
"Specialist, The ",1994,"Llosa, Luis ",USA ,4.1
Blackwater Trail ,1995,"Barry, Ian ",AUS ,4.1
Bullet to Beijing ,1995,"Mihalka, George ",,4.1
Dead Presidents ,1995,"Hughes, Albert & Allen ",USA ,4.1
Die Hard - With a Vengeance ,1995,"McTiernan, John ",USA ,4.1
Halloween 6: The Curse of Michael Meyers ,1995,"Chapelle, Joe ",USA ,4.1
"Evening Star, The ",1996,"Harling, Robert ",USA ,4.1
"First Wives Club, The ",1996,"Wilson, Hugh ",USA ,4.1
Fly Away Home ,1996,"Ballard, Carroll ",USA ,4.1
Happy Gilmore ,1996,"Dugan, Dennis ",USA ,4.1
North Star ,1996,"Gaup, Nils ",,4.1
Omega Doom ,1996,"Pyun, Albert ",USA ,4.1
Set It Off ,1996,"Gray, F. Gary ",USA ,4.1
"Time to Kill, A ",1996,"Schumacher, Joel ",USA ,4.1
"Assignment, The ",1997,"Duguay, Christian ",,4.1
Bring Me the Head of Mavis Davis ,1997,"Henderson, John ",BRI ,4.1
Casualties ,1997,"Graves, Alex ",USA ,4.1
"Honest Courtesan, The ",1997,"Herskovitz, Marshall ",USA ,4.1
Men in Black ,1997,"Sonnenfeld, Barry ",USA ,4.1
"Pest, The ",1997,"Miller, Paul ",USA ,4.1
Wishmaster ,1997,"Kurtzmann, Robert ",USA ,4.1
"Avengers, The ",1998,"Chechik, Jeremiah ",USA ,4.1
Hard Time ,1998,"Reynolds, Burt ",USA ,4.1
Kissing a Fool ,1998,"Ellin, Doug ",USA ,4.1
"Parent Trap, The ",1998,"Meyer, Nancy ",USA ,4.1
Practical Magic ,1998,"Dunne, Griffin ",USA ,4.1
Woo ,1998,"Mayer, Daisy von Scherler ",USA ,4.1
"13th. Warrior, The ",1999,"McTiernan, John ",USA ,4.1
"Farewell, My Love ",1999,"Fontana, Randall ",USA ,4.1
Shiloh 2: Shiloh Season ,1999,"Tung, Sandy ",USA ,4.1
"Thirteenth Floor, The ",1999,"Rusnak, Josef ",USA ,4.1
Book of Shadows: Blair Witch 2 ,2000,"Berlinger, Joe ",USA ,4.1
"Crouching Tiger, Hidden Dragon ",2000,"Lee, Ang ",,4.1
Miss Congeniality ,2000,"Petrie, Donald ",USA ,4.1
Remember the Titans ,2000,"Yakin, Boaz ",USA ,4.1
Sexy Beast ,2000,"Glazer, Jonathan ",BRI ,4.1
There's Only One Jimmy Grimble ,2000,"Hay, John ",,4.1
U-571 ,2000,"Mostow, Jonathan ",USA ,4.1
Vertical Limit ,2000,"Campbell, Martin ",USA ,4.1
Wonder Boys ,2000,"Hanson, Curtis ",USA ,4.1
American Desi ,2001,"Pandya, Piyush Dinker ",USA ,4.1
America's Sweethearts ,2001,"Roth, Joe ",USA ,4.1
Get Over It ,2001,"O'Haver, Tommy ",USA ,4.1
Hidden Agenda ,2001,"Grenier, Marc S. ",CAN ,4.1
Riding in Cars with Boys ,2001,"Marshall, Penny ",USA ,4.1
Superstition ,2001,"Hope, Kenneth ",,4.1
Tape ,2001,"Linklater, Richard ",USA ,4.1
Swimfan ,2002,"Polson, john ",,4.1
Thunderpants ,2002,"Hewitt, Pete ",,4.1
Heidi ,2005,"Marcus, Paul ",BRI ,4.1
"Perfect Man, The ",2005,"Rosman, Mark ",USA ,4.1
Seraphim Falls ,2006,"Ancken, David Von ",USA ,4.1
Carriers ,2008,"Pastor, Alex & David ",USA ,4.1
Superman ,1978,"Donner, Richard ",,4.11
Throw Momma From the Train ,1987,"De Vito, Danny ",USA ,4.11
"Santa Clause, The ",1994,"Pasquin, John ",USA ,4.11
Manic ,2001,"Melamed, Jordan ",USA ,4.11
Cherish ,2002,"Taylor, Finn ",USA ,4.11
"Time Machine, The ",2002,"Wells, S. & Verbinski, G. ",USA ,4.11
"Butterfly Effect, The ",2003,"Bress, E. & Gruber, J. M. ",USA ,4.11
Wimbledon ,2004,"Loncraine, Richard ",BRI ,4.11
Win a Date with Tad Hamilton! ,2004,"Luketic, Robert ",USA ,4.11
Conquest of the Planet of the Apes ,1972,"Lee-Thompson, J. ",USA ,4.12
WarGames ,1983,"Badham, John ",USA ,4.12
Flatliners ,1990,"Schumacher, Joel ",USA ,4.12
Alone in the Dark ,2005,"Boll, Uwe ",,4.12
Thank You for Smoking ,2005,"Reitman, Jason ",USA ,4.12
Ils ,2006,"Palud, X. & Moreau, D. ",FRA ,4.12
Mr. Magorium's Wonder Emporium ,2007,"Halm, Zach ",USA ,4.12
Bunny and the Bull ,2009,"King, Paul ",BRI ,4.12
Running Scared ,1986,"Hyams, Peter ",USA ,4.13
Hulk ,2003,"Lee, Ang ",USA ,4.13
Frankenstein ,2004,"Nispel, Marcus ",USA ,4.13
Blackbeard's Ghost ,1967,"Stevenson, Robert ",USA ,4.14
Brubaker ,1980,"Rosenberg, Stuart ",USA ,4.14
Short Circuit 2 ,1988,"Johnston, Kenneth ",USA ,4.14
High Crimes ,2002,"Franklin, Carl ",USA ,4.14
Azumi ,2003,"Kitamura, Ryuhei ",JAP ,4.14
Octane ,2003,"Adams, Marcus ",,4.14
Gran Torino ,2008,"Eastwood, Clint ",,4.14
Mirrors ,2008,"Aja, Alexandre ",,4.14
Broken ,2012,"Norris, Rufus ",BRI ,4.14
"Shaggy DA, The ",1976,"Stevenson, Robert ",USA ,4.15
Return to Oz ,1985,"Murch, Walter ",,4.15
Congo ,1995,"Marshall, Frank ",USA ,4.15
Foolproof ,2003,"Phillips, William ",CAN ,4.15
Sisters ,2006,"Buck, Douglas ",,4.15
Wrong Turn at Tahoe ,2009,"Khalfoun, Franck ",USA ,4.15
Santa Claus: The Movie ,1985,"Szwarc, Jeannot ",USA ,4.16
Appointment with Death ,1988,"Winner, Michael ",,4.16
Red Heat ,1988,"Hill, Walter ",USA ,4.16
Uncle Buck ,1989,"Hughes, John ",USA ,4.16
Bad Girls ,1994,"Kaplan, Jonathan ",USA ,4.16
While You Were Sleeping ,1995,"Turteltaub, Jon ",USA ,4.16
Nurse Betty ,2000,"LaBute, Neil ",USA ,4.16
Jeepers Crepers 2 ,2003,"Salva, Victor ",USA ,4.16
Wolf Creek ,2005,"Jarratt, john ",AUS ,4.16
"House Bunny, The ",2008,"Wolf, Fred ",USA ,4.16
"Other Man, The ",2008,"Eyre, Richard ",,4.16
In the Loop ,2009,"Ianucci, Armando ",BRI ,4.16
Superman III ,1983,"Lester, Richard ",,4.17
"Unendliche Gesichte, die ",1984,"Petersen, Wolfgang ",GER ,4.17
Fortress ,1992,"Gordon, Stuart ",,4.17
Finding Neverland ,2004,"Forster, Marc ",USA ,4.17
Harsh Times ,2005,"Ayer, David ",USA ,4.17
"Good Shepherd, The ",2006,"De Niro, Robert ",,4.17
300,2007,"Snyder, Zack ",USA ,4.17
Jerry Maguire ,1996,"Crowe, Cameron ",USA ,4.18
Adaptation ,2002,"Jonze, Spike ",USA ,4.18
Try Seventeen ,2003,"Porter, Jeffrey ",,4.18
Taking Lives ,2004,"Caruso, D.J. ",,4.18
How She Move ,2007,"Rashid, Ian Iqbal ",USA ,4.18
Deep Winter ,2008,"Hilb, Mikey ",USA ,4.18
"Men Who Stare at Goats, The ",2009,"Heslov, Grant ",,4.18
Jeremiah Johnson ,1972,"Pollack, Sydney ",USA ,4.19
"Strongest Man in the World, The ",1975,"McEveety, Vincent ",USA ,4.19
Fatal Instinct ,1993,"Reiner, Carl ",USA ,4.19
Wayne's World 2 ,1993,"Surjik, Stephen ",USA ,4.19
Buying the Cow ,2000,"Becker, Walt ",USA ,4.19
"Eye, The ",2002,"Pang, Danny & Oxide ",THA ,4.19
Slow Burn ,2003,"Beach, Wayne ",USA ,4.19
All the Boys Love Many Lane ,2006,"Levine, Jonathan ",USA ,4.19
Charlie Wilson's War ,2007,"Nichols, Mike ",,4.19
Greta ,2009,"Bardawil, Nancy ",USA ,4.19
"Vow, The ",2012,"Sucsy, Michael ",,4.19
Daigaku no Waka-danna ,1933,"Shimizu, Hiroshi ",JAP ,4.2
"Early Bird, The ",1965,"Asher, Robert ",BRI ,4.2
She ,1965,"Day, robert ",BRI ,4.2
"Man Called Horse, A ",1970,"Silverstein, Elliot ",USA ,4.2
Not Now Darling ,1972,"Cooney, Ray & Croft, Davi ",BRI ,4.2
"Satanic Rites of Dracula, The ",1973,"Gibson, Alan ",BRI ,4.2
North Sea Hijack ,1979,"McLagen, Andrew V. ",BRI ,4.2
Cannonball Run II ,1984,"Needham, Hal ",USA ,4.2
Youngblood ,1986,"Markle, Peter ",USA ,4.2
City on Fire ,1987,"Lam, Ringo ",HKO ,4.2
Near Dark ,1987,"Bigelow, Kathryn ",USA ,4.2
Opposing Force ,1987,"Karson, Eric ",USA ,4.2
"Blob, The ",1988,"Russell, Chuck ",USA ,4.2
D.O.A. ,1988,"Morton, Rocky & Jankel, A ",USA ,4.2
Messenger of Death ,1988,"Lee-Thompson, J. ",USA ,4.2
Monkey Shines: An Experiment in Fear ,1988,"Romero, George A. ",USA ,4.2
Anjali ,1990,"Ratnam, Mani ",IND ,4.2
New Jack City ,1991,"Peebles, Mario Van ",USA ,4.2
Living in Fear ,1992,"Davis, Andrew ",USA ,4.2
Running Wild ,1992,"McLachlan, Duncan ",,4.2
Sniper ,1992,"Llosa, Luis ",USA ,4.2
Jason Goes to Hell: The Final Friday ,1993,"Marcus, Adam ",USA ,4.2
Before the Rain ,1994,"Manchevski, Milcho ",,4.2
Blankman ,1994,"Binder, Mike ",USA ,4.2
Brainscan ,1994,"Flynn, John ",USA ,4.2
Major League II ,1994,"Ward, David S. ",USA ,4.2
"Big Green, The ",1995,"Sloan, Holly Goldberg ",USA ,4.2
"Demolitionist, The ",1995,"Kurtzman, Robert ",USA ,4.2
Heat ,1995,"Mann, Michael ",USA ,4.2
Heavyweights ,1995,"Brill, Steven ",USA ,4.2
"Hunted, The ",1995,"Lawton, J.F. ",USA ,4.2
"Quick and the Dead, The ",1995,"Raimi, Sam ",USA ,4.2
Rumpelstiltskin ,1995,"Jones, Mark ",USA ,4.2
Caught in the Act ,1996,"Greenstreet, Mark ",BRI ,4.2
Harriet the Spy ,1996,"Hughes, Bronwen ",USA ,4.2
Larger Than Life ,1996,"Franklin, Howard ",USA ,4.2
Scream ,1996,"Craven, Wes ",USA ,4.2
Air Force One ,1997,"Petersen, Wolfgang ",USA ,4.2
Lolita ,1997,"Lyne, Adrian ",,4.2
Poison Ivy: The New Seduction ,1997,"Voss, Kurt ",USA ,4.2
Titanic ,1997,"Cameron, James ",USA ,4.2
Zeus and Roxanne ,1997,"Miller, George ",USA ,4.2
I'll Be Home For Christmas ,1998,"Sanford, Arlene ",USA ,4.2
"Mighty, The ",1998,"Chelsom, Peter ",USA ,4.2
Out of Sight ,1998,"Soderbergh, Steven ",USA ,4.2
"Player's Club, The ",1998,Ice Cube ,USA ,4.2
"Truman Show, The ",1998,"Weir, Peter ",USA ,4.2
Cherry Falls ,1999,"Wright, Geoff ",USA ,4.2
Confessions of a Trick Baby ,1999,"Bright, Matthew ",USA ,4.2
"Last Marshall, The ",1999,"Kirton, Mike ",USA ,4.2
"Mod Squad, The ",1999,"Silver, Scott ",USA ,4.2
Operation Delta Force IV: Deep Fault ,1999,"Roper, Mark ",USA ,4.2
SLC Punk! ,1999,"Merendino, James ",USA ,4.2
Third World Cop ,1999,"Browne, Chris ",JAM ,4.2
Virtual Sexuality ,1999,"Hurran, Nick ",BRI ,4.2
Wind River ,1999,"Shell, Tom ",USA ,4.2
Alone With a Stranger ,2000,"Liapis, Peter ",USA ,4.2
"Beach, The ",2000,"Boyle, Danny ",,4.2
Hollow Man ,2000,"Verhoeven, Paul ",USA ,4.2
Mom's Got a Date with a Vampire ,2000,"Boyum, Steve ",USA ,4.2
"Perfect Nanny, The ",2000,"Malenfant, Robert ",USA ,4.2
Reindeer Games ,2000,"Frankenheimer, John ",USA ,4.2
Small Time Obsession ,2000,"Szkopiak, Piotr ",,4.2
Some Voices ,2000,"Jones, Simon Cellan ",BRI ,4.2
Along Came a Spider ,2001,"Tamahori, Lee ",,4.2
Evolution ,2001,"Reitman, Ivan ",USA ,4.2
Hannibal ,2001,"Scott, Ridley ",USA ,4.2
Long Time Dead ,2001,"Adams, Marcus ",,4.2
Sex and Lucia ,2001,"Medem, Julio ",,4.2
Valentine ,2001,"Blanks, Jamie ",USA ,4.2
Federal Protection ,2002,"Hickox, Anthony ",USA ,4.2
"Importance of Being Earnest, The ",2002,"Parker, Oliver ",,4.2
Main Madhur Dixit Bann Chahti Hoon! ,2003,"Arora, Chandan ",IND ,4.2
Munnabhai M B B S ,2003,"Hirani, Rajkumar ",IND ,4.2
Stage Beauty ,2003,"Eyre, Richard ",,4.2
Main Hoon Na ,2004,"Khan, Farah ",IND ,4.2
"Exorcism of Emily Rose, The ",2005,"Derrickson, Scott ",USA ,4.2
Get Rich or Die Tryin' ,2005,"Sheridan, Jim ",USA ,4.2
Precious (Based on Nol by Saf) ,2008,"Daniels, Lee ",USA ,4.2
Piranha ,2010,"Aja, Alexandre ",USA ,4.2
Coriolanus ,2012,"Fiennes, Ralph ",BRI ,4.2
DOA ,1988,"Jankel, A. & Morton, R. ",USA ,4.21
Hear My Song ,1991,"Chelsom, Peter ",BRI ,4.21
"Kovak Box, The ",2006,"Monzon, Daniel ",,4.21
"Number 23, The ",2006,"Schumacher, Joel ",,4.21
Smart People ,2007,"Murro, Noam ",USA ,4.21
What Just Happened ,2007,"Levinson, Barry ",USA ,4.21
Stop-Loss ,2008,"Peirce, Kimberly ",USA ,4.21
"Adventures of Michael Strogoff, The ",1937,"Nichols, Jr., George ",USA ,4.22
Ulzana's Raid ,1972,"Aldrich, Robert ",USA ,4.22
Heat ,1985,"Richards, R.M. ",USA ,4.22
Bill and Ted's Excellent Adventure ,1989,"Herek, Stephen ",USA ,4.22
Air America ,1990,"Spottiswoode, Roger ",USA ,4.22
Somersault ,2004,"Shortland, Cate ",AUS ,4.22
Little Miss Sunshine ,2006,"Clayton, J. & Faris, V. ",USA ,4.22
My Super Ex-Girlfriend ,2006,"Reitman, Ivan ",USA ,4.22
